end_time,duration_hours,rainfall_in_mm
2023-09-30 21:00:00,12,45.1
2023-10-01 00:00:00,15,45.1
2023-10-01 03:00:00,18,45.1
2023-10-01 06:00:00,21,45.1
2023-10-01 08:30:00,24,63.1
2023-10-01 12:00:00,3,1.0
2023-10-01 15:00:00,6,13.0
2023-10-01 18:00:00,9,18.0
2023-10-01 21:00:00,12,18.6
2023-10-02 00:00:00,15,26.3
2023-10-02 03:00:00,18,27.3
2023-10-02 06:00:00,21,31.0
2023-10-02 08:30:00,24,31.0
2023-10-02 12:00:00,3,0.0
2023-10-02 15:00:00,6,1.0
2023-10-02 18:00:00,9,2.0
2023-10-02 21:00:00,12,2.7
2023-10-03 00:00:00,15,2.7
2023-10-03 03:00:00,18,5.7
2023-10-03 06:00:00,21,5.9
2023-10-03 08:30:00,24,5.9
2023-10-03 12:00:00,3,4.6
2023-10-03 15:00:00,6,5.1
2023-10-03 21:00:00,12,7.3
2023-10-04 00:00:00,15,8.0
2023-10-04 03:00:00,18,20.6
2023-10-04 06:00:00,21,48.4
2023-10-04 08:30:00,24,48.9
2023-10-04 12:00:00,3,3.4
2023-10-04 15:00:00,6,4.1
2023-10-04 18:00:00,9,4.1
2023-10-04 21:00:00,12,4.1
2023-10-05 00:00:00,15,4.1
2023-10-05 03:00:00,18,37.1
2023-10-05 06:00:00,21,48.7
2023-10-05 08:30:00,24,50.4
2023-10-05 12:00:00,3,3.7
2023-10-05 15:00:00,6,3.9
2023-10-05 18:00:00,9,4.4
2023-10-05 21:00:00,12,15.6
2023-10-06 00:00:00,15,16.3
2023-10-06 03:00:00,18,16.8
2023-10-06 06:00:00,21,22.9
2023-10-06 08:30:00,24,23.8
2023-10-06 12:00:00,3,2.2
2023-10-06 15:00:00,6,38.4
2023-10-06 18:00:00,9,58.1
2023-10-06 21:00:00,12,58.6
2023-10-07 00:00:00,15,59.1
2023-10-07 03:00:00,18,59.1
2023-10-07 06:00:00,21,59.1
2023-10-07 08:30:00,24,9.1
